,symbol,average_num_of_trades
234,AAVEUPUSDT,19419.527065527065
235,AAVEDOWNUSDT,21934.239316239316
236,SKLUSDT,40911.79972752043
237,SUSDUSDT,1109.817813765182
238,SUSHIUPUSDT,33680.8
239,SUSHIDOWNUSDT,23924.456756756757
240,XLMUPUSDT,16749.79945799458
241,XLMDOWNUSDT,5420.365853658536
242,GRTUSDT,128000.35933147633
243,JUVUSDT,16484.819327731093
244,PSGUSDT,29155.789915966387
245,1INCHUSDT,99006.80281690141
246,REEFUSDT,99451.6402266289
247,OGUSDT,20083.344680851063
248,ATMUSDT,20693.967375886525
249,ASRUSDT,14521.651063829788
250,CELOUSDT,52753.14878397711
251,RIFUSDT,7464.909612625538
252,BTCSTUSDT,59431.18035190616
253,TRUUSDT,31080.709489051096
254,CKBUSDT,31285.963126843657
255,TWTUSDT,43714.70605612999
256,FIROUSDT,16999.925925925927
257,LITUSDT,75115.93423019433
258,SFPUSDT,58799.21353383458
259,DODOUSDT,45975.64067278287
260,CAKEUSDT,103860.0259938838
261,ACMUSDT,18008.966101694914
262,BADGERUSDT,18614.70762052877
263,FISUSDT,23035.31464174455
264,OMUSDT,21190.62480376766
265,PONDUSDT,38274.93710691824
266,DEGOUSDT,34101.96692913386
267,ALICEUSDT,125188.15238095238
268,LINAUSDT,53284.19298245614
269,PERPUSDT,24878.369009584665
270,RAMPUSDT,27245.687234042554
271,SUPERUSDT,39311.01774193548
272,CFXUSDT,25637.939935064936
273,EPSUSDT,55112.488833746895
274,AUTOUSDT,12739.377450980392
275,TKOUSDT,38062.06919275124
276,PUNDIXUSDT,19732.887603305786
277,TLMUSDT,118964.55740432613
278,1INCHUPUSDT,13225.943965517241
279,1INCHDOWNUSDT,12210.724137931034
280,BTGUSDT,9663.355475763015
281,MIRUSDT,31630.099159663867
282,BARUSDT,14594.455311973019
283,FORTHUSDT,21792.218274111674
284,BAKEUSDT,77781.42123287672
285,BURGERUSDT,37650.84589041096
286,SLPUSDT,152639.76198630137
287,SHIBUSDT,610361.0592334495
288,ICPUSDT,150053.56195462478
289,ARUSDT,64922.62807017544
290,POLSUSDT,16354.516814159291
291,MDXUSDT,33940.88392857143
292,MASKUSDT,58531.8282647585
293,LPTUSDT,25419.962230215828
294,NUUSDT,51533.41472868217
295,XVGUSDT,14860.241316270567
296,ATAUSDT,80471.68315018315
297,GTCUSDT,39543.48250460405
298,TORNUSDT,21954.658671586716
299,KEEPUSDT,61314.73469387755
300,ERNUSDT,21072.225988700564
301,KLAYUSDT,31123.858223062383
